gamerid	score	city	country
1432	12123	nyc	usa
1345	456344	nyc	usa
1	5745	nyc	usa
156	8765745	nyc	usa
167	8996808	nyc	usa
1787	53423	nyc	usa
212	4563455	nj	usa
231	2342342	la	fr
4	3425355	ga	nr
2234	1234221	nj	usa
234	2134212	nj	usa
438	786757	bl	it
598	8765654	ca	ge
4871	3421324	nv	it
267	2342343	nj	usa	
5123	4523455	ca	ge
845	987938	re	mx
934	676553	ta	ca
732	26432	or	in
1018	34353	ri	en
1	1231242	va	ir
12	1232456	wv	usa
1476	89800	fl	usa
1481	00043	fl	usa
1552	0002343	tx	usa
153	0000123	tx	usa
1309	0000121	il	ba
1430	0000112	fl	usa
