gamerid	score	city	country
123	1234123	nyc	usa
134	4356344	nyc	usa
145	5676745	nyc	usa
156	8765745	nyc	usa
167	8996808	nyc	usa
178	3453423	nyc	usa
212	4563455	nj	usa
231	2342342	la	fr
412	3425355	ga	nr
223	1234221	nj	usa
234	2134212	nj	usa
438	6786757	bl	it
598	8765654	ca	ge
487	3421324	nv	it
267	2342343	nj	usa	
556	4523455	ca	ge
845	9879328	re	mx
934	6765753	ta	ca
732	2635432	or	in
101	1234353	ri	en
112	1231242	va	ir
123	1232456	wv	usa
145	8980088	fl	usa
148	0002343	fl	usa
155	0002343	tx	usa
153	0000123	tx	usa
131	0000121	il	ba
143	0000112	fl	usa
